Match ID,Match Date,Match Time,City,Stadium,Team A,Team B,Toss Winner,Toss Decision,Score A,Wickets A,Overs Played A,Maiden Overs A,4s A,6s A,Boundaries A,Runrate A,Leg Byes A,Byes A,Wides A,No Balls A,Penalty A,Extras A,Score B,Wickets B,Overs Played B,Maiden Overs B,4s B,6s B,Boundaries B,Runrate B,Leg Byes B,Byes B,Wides B,No Balls B,Penalty B,Extras B,Wining Team,Margin,Man of the Match,Umpire 1,Umpire 2,TV Umpire,Match Refree
11,13-10-2023,2:00 PM,Chennai,M. A. Chidambaram Stadium,Bangladesh,NewZealand,NewZealand,Field,245,9,50,1,20,8,28,4.9,1,0,10,0,0,11,248,2,42.5,1,20,6,26,5.78,1,0,4,4,0,9,NewZealand,8 Wickets,Lockie Ferguson,Kumar Dharmasena,Nitin Menon,Michael Gough,Richie Richardson
12,14-10-2023,2:00 PM,Ahmedabad,Narendra Modi Stadium,Pakistan,India,India,Field,191,10,42.5,0,26,0,26,4.45,5,0,1,0,0,6,192,3,30.3,1,17,8,25,6.29,2,1,1,0,0,4,India,7 Wickets,Jasprit Bumrah,Richard Illingworth,Marais Erasmus,Richard Kettleborough,Andy Pycroft
13,15-10-2023,2:00 PM,Delhi,Arun Jaitley Stadium,Afghanistan,England,England,Field,284,10,49.5,3,23,8,31,5.69,4,0,8,1,0,13,215,10,40.3,2,24,1,25,5.3,1,0,11,3,0,15,Afghanistan, 69 Runs,Mujeeb Ur Rahman,Sharfuddoula,Rod Tucker,Paul Reiffel,Jeff Crowe
14,16-10-2023,2:00 PM,Lucknow,BRSABV Ekana Cricket Stadium,Sri Lanka,Australia,Sri Lanka,Bat,209,10,43.3,2,23,1,24,4.8,0,0,3,0,0,3,215,5,35.2,2,22,5,27,6.08,2,2,9,0,0,13,Australia,5 Wickets,Adam Zampa,Alex Wharf,Chris Gaffaney,Chris Brown,Richie Richardson
15,17-10-2023,2:00 PM,Dharamshala,HPCA Stadium,Netherlands,South Africa,South Africa,Field,245,8,43,1,23,6,29,5.69,2,0,5,1,0,8,207,10,42.5,3,19,5,24,4.83,10,0,21,1,0,32,Netherlands,38 Runs,Scott Edwards,Richard Kettleborough,Michael Gough,Sharfuddoula,Jeff Crowe
16,18-10-2023,2:00 PM,Chennai,M. A. Chidambaram Stadium,NewZealand,Afghanistan,Afghanistan,Field,288,6,50,4,19,11,30,5.76,0,0,5,0,0,5,139,10,34.4,2,11,2,13,4,4,0,5,1,0,10,NewZealand,149 Runs,Glenn Phillips,Paul Wilson,Joel Wilson,Alex Wharf,Javagal Srinath
17,19-10-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,Bangladesh,India,Bangladesh,Bat,256,8,50,0,18,8,26,5.12,0,0,2,2,0,4,261,3,41.3,1,23,9,32,6.28,1,0,5,0,0,6,India,7 Wickets,Virat Kohli,Adrian Holdstock,Richard Kettleborough,Kumar Dharmasena,Andy Pycroft
18,20-10-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,Australia,Pakistan,Pakistan,Field,367,9,50,1,29,19,48,7.34,7,1,11,0,0,19,305,10,45.3,1,34,6,40,6.7,10,1,14,0,0,25,Australia,62 Runs,David Warner,Richard Illingworth,Chris Brown,Alex Wharf,Richie Richardson
19,21-10-2023,10:30 AM,Lucknow,BRSABV Ekana Cricket Stadium,Netherlands,Sri Lanka,Netherlands,Bat,262,10,49.4,1,14,3,17,5.27,0,13,11,0,0,24,263,5,48.2,2,23,3,26,5.44,1,0,26,1,5,33,Sri Lanka,5 Wickets,Sadeera Samarawickrama,Ahsan Raza,Marais Erasmus,Rod Tucker,Jeff Crowe
20,21-10-2023,2:00 PM,Mumbai,Wankhede Stadium,South Africa,England,England,Field,399,7,50,2,38,13,51,7.98,9,0,5,1,0,15,170,10,22,1,18,9,27,7.72,3,2,9,1,0,15,South Africa,229 Runs,Heinrich Klaasen,Nitin Menon,Kumar Dharmasena,Paul Reiffel,Javagal Srinath
21,22-10-2023,2:00 PM,Dharamshala,HPCA Stadium,NewZealand,India,India,Field,273,10,50,0,19,7,26,5.46,1,0,4,0,0,5,274,6,48,2,29,7,36,5.7,5,3,7,0,0,15,India,4 Wickets,Mohammed Shami,Richard Kettleborough,Michael Gough,Paul Wilson,Andy Pycroft
22,23-10-2023,2:00 PM,Chennai,M. A. Chidambaram Stadium,Pakistan,Afghanistan,Pakistan,Bat,282,7,50,2,17,9,26,5.64,0,0,8,1,0,9,286,2,49,0,28,3,31,5.83,4,0,12,1,0,17,Afghanistan,8 Wickets,Ibrahim Zadran,Paul Reiffel,Rod Tucker,Chris Gaffaney,Richie Richardson
23,24-10-2023,2:00 PM,Mumbai,Wankhede Stadium,South Africa,Bangladesh,South Africa,Bat,382,5,50,2,26,19,45,7.64,2,0,13,2,0,17,233,10,46.4,0,25,5,30,4.99,3,0,7,0,0,10,South Africa,149 Runs,Quinton de Kock,Alex Wharf,Joel Wilson,Paul Wilson,Jeff Crowe
24,25-10-2023,2:00 PM,Delhi,Arun Jaitley Stadium,Australia,Netherlands,Australia,Bat,399,8,50,0,42,15,57,7.98,0,0,7,0,0,7,90,10,21,0,13,0,13,4.28,0,0,11,1,0,12,Australia,309 Runs,Glenn Maxwell,Sharfuddoula,Michael Gough,Marais Erasmus,Andy Pycroft
25,26-10-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,England,Sri Lanka,England,Bat,156,10,33.2,0,19,1,20,4.68,0,0,3,0,0,3,160,2,25.4,2,17,3,20,6.23,3,0,4,0,0,7,Sri Lanka,8 Wickets,Lahiru Kumara,Chris Brown,Adrian Holdstock,Ahsan Raza,Javagal Srinath
26,27-10-2023,2:00 PM,Chennai,M. A. Chidambaram Stadium,Pakistan,South Africa,Pakistan,Bat,270,10,46.4,1,23,8,31,5.78,5,1,15,0,0,21,271,9,47.2,1,21,8,29,5.22,0,4,11,4,0,19,South Africa,1 Wicket,Tabraiz Shamsi,Paul Reiffel,Alex Wharf,Richard Illingworth,Richie Richardson
27,28-10-2023,10:30 AM,Dharamshala,HPCA Stadium,Australia,NewZealand,NewZealand,Field,388,10,49.2,0,32,20,52,7.86,4,0,22,0,0,26,383,9,50,0,33,12,45,7.66,0,1,6,2,0,9,Australia,5 Runs,Travis Head,Sharfuddoula,Marais Erasmus,Nitin Menon,Andy Pycroft
28,28-10-2023,2:00 PM,Kolkata,Eden Gardens,Netherlands,Bangladesh,Netherlands,Bat,142,10,42.2,5,22,2,24,3.35,0,0,6,0,0,6,229,10,50,3,16,2,18,4.58,1,4,7,0,0,12,Netherlands,87 Runs,Paul van Meekeren,Joel Wilson,Paul Wilson,Kumar Dharmasena,Jeff Crowe
29,29-10-2023,2:00 PM,Lucknow,BRSABV Ekana Cricket Stadium,India,England,England,Field,229,9,50,4,20,4,24,4.58,2,0,6,0,0,8,129,10,34.5,5,10,3,13,3.7,0,4,3,0,0,7,India,100 Runs,Rohit Sharma,Rod Tucker,Adrian Holdstock,Ahsan Raza,Richie Richardson
30,30-10-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,Sri Lanka,Afghanistan,Afghanistan,Field,241,10,49.3,0,19,2,21,4.86,1,0,9,0,0,10,242,3,45.2,1,19,5,24,5.33,2,0,9,0,0,11,Afghanistan,7 Wickets,Fazalhaq Farooqi,Richard Illingworth,Chris Gaffaney,Alex Wharf,Javagal Srinath
31,31-11-2023,2:00 PM,Kolkata,Eden Gardens,Bangladesh,Pakistan,Bangladesh,Bat,205,3,32.3,2,19,3,22,6.3,2,0,2,0,0,4,204,10,45.1,2,19,9,28,4.51,4,0,5,0,0,9,Pakistan,7 Wickets,Fakhar Zaman,Richard Kettleborough,Nitin Menon,Adrian Holdstock,Andy Pycroft
32,01-11-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,South Africa,NewZealand,NewZealand,Field,357,4,50,4,26,15,41,7.14,1,4,6,1,0,12,167,10,35.3,1,17,4,21,4.7,4,0,8,0,0,12,South Africa,190 Runs,Rassie van der Dussen,Kumar Dharmasena,Ahsan Raza,Sharfuddoula,Richie Richardson
33,02-11-2023,2:00 PM,Mumbai,Wankhede Stadium,India,Sri Lanka,Sri Lanka,Field,357,8,50,4,31,9,40,7.14,1,5,4,0,0,10,55,10,19.4,2,6,0,6,2.79,6,5,8,1,0,20,India,302 Runs,Mohammed Shami,Chris Brown,Paul Reiffel,Rod Tucker,Jeff Crowe
34,03-11-2023,10:30 AM,Lucknow,BRSABV Ekana Cricket Stadium,Netherlands,Afghanistan,Netherlands,Bat,181,3,31.3,0,19,0,19,5.74,3,0,7,2,0,12,179,10,46.3,1,21,0,21,3.84,2,0,14,0,0,16,Afghanistan,7 Wickets,Mohammad Nabi,Nitin Menon,Sharfuddoula,Michael Gough,Javagal Srinath
35,04-11-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,NewZealand,Pakistan,Pakistan,Field,401,6,50,1,46,8,54,8.02,1,0,3,0,0,4,200,1,25.3,0,15,13,28,7.84,8,0,17,1,0,26,Pakistan,21 Runs DLS Method,Fakhar Zaman,Paul Wilson,Richard Kettleborough,Richard Illingworth,Richie Richardson
36,04-11-2023,2:00 PM,Ahmedabad,Narendra Modi Stadium,Australia,England,England,Field,286,10,49.3,2,25,3,28,5.77,6,0,8,0,0,14,253,10,48.1,1,22,6,28,5.25,6,0,4,0,0,10,Australia,33 Runs,Adam Zampa,Chris Gaffaney,Marais Erasmus,Adrian Holdstock,Jeff Crowe
37,05-11-2023,2:00 PM,Kolkata,Eden Gardens,India,South Africa,India,Bat,326,5,50,3,35,6,41,6.52,0,0,2,0,0,2,83,10,27.1,1,10,0,10,3.05,2,0,22,2,0,26,India,243 Runs,Virat Kohli,Paul Reiffel,Kumar Dharmasena,Chris Brown,Andy Pycroft
38,06-11-2023,2:00 PM,Delhi,Arun Jaitley Stadium,Sri Lanka,Bangladesh,Bangladesh,Field,279,10,49.3,2,27,7,34,5.63,13,0,10,0,0,23,282,7,41.1,1,33,7,40,6.85,2,0,4,0,0,6,Bangladesh,3 Wickets,Shakib Al Hasan,Richard Illingworth,Marais Erasmus,Nitin Menon,Richie Richardson
39,07-11-2023,2:00 PM,Mumbai,Wankhede Stadium,Australia,Afghanistan,Afghanistan,Bat,293,7,46.5,0,30,12,42,6.25,5,0,10,1,0,16,291,5,50,3,16,9,25,5.82,1,4,10,0,0,15,Australia,3 Wickets,Glenn Maxwell,Michael Gough,Alex Wharf,Chris Gaffaney,Jeff Crowe
40,08-11-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,England,Netherlands,England,Bat,179,10,37.2,2,26,10,36,4.79,4,0,4,0,0,8,339,9,50,0,15,6,21,6.78,0,0,20,1,0,21,England,160 Runs,Ben Stokes,Ahsan Raza,Rod Tucker,Marais Erasmus,Andy Pycroft
41,09-11-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,NewZealand,Sri Lanka,NewZealand,Field,171,10,46.4,7,23,5,28,3.66,1,0,3,0,0,4,172,5,23.2,1,21,3,24,7.37,0,0,2,0,0,2,NewZealand,5 Wickets,Trent Boult,Adrian Holdstock,Joel Wilson,Richard Kettleborough,Javagal Srinath
42,10-11-2023,10:30 AM,Ahmedabad,Narendra Modi Stadium,Afghanistan,South Africa,Afghanistan,Bat,244,10,50,2,20,6,26,4.88,3,0,6,0,0,9,247,5,47.3,2,15,9,24,"5,20",1,4,10,0,0,15,South Africa,5 Wickets,Rassie van der Dussen,Nitin Menon,Chris Brown,Kumar Dharmasena,Jeff Crowe
43,11-11-2023,2:00 PM,Pune,Maharashtra Cricket Association Stadium,Australia,Bangladesh,Australia,Field,306,8,50,1,29,10,39,6.12,10,0,12,2,0,24,307,2,44.4,1,27,6,33,6.87,0,0,4,0,0,4,Australia,8 Wickets,Mitchell Marsh,Ahsan Raza,Marais Erasmus,Richard Illingworth,Andy Pycroft
44,11-11-2023,2:00 PM,Kolkata,Eden Gardens,England,Pakistan,England,Bat,244,10,50,1,27,6,33,6.74,2,5,12,0,0,19,337,9,43.3,0,35,8,43,5.6,1,0,5,0,0,6,England,93 Runs,David Willey,Paul Wilson,Rod Tucker,Sharfuddoula,Javagal Srinath
45,12-11-2023,2:00 PM,Bangalore,M. Chinnaswamy Stadium,India,Netherlands,India,Bat,410,4,50,3,37,16,53,8.2,9,0,4,0,0,13,250,10,47.5,0,19,9,28,5.22,1,0,13,1,0,15,India,160 Runs,Shreyas Iyer,Michael Gough,Chris Gaffaney,Joel Wilson,Richie Richardson
46,15-11-2023,2:00 PM,Mumbai,Wankhede Stadium,India,NewZealand,India,Bat,397,4,50,1,30,19,49,7.94,5,4,19,1,0,29,327,10,48.5,1,29,11,40,6.69,1,1,6,0,0,8,India,70 Runs,Mohammed Shami,Richard Illingworth,Rod Tucker,Joel Wilson,Andy Pycroft
47,16-11-2023,2:00 PM,Kolkata,Eden Gardens,Australia,South Africa,South Africa,Bat,215,7,47.2,4,21,6,27,4.54,4,0,7,0,0,11,212,10,49.4,1,16,8,24,4.26,3,0,12,2,0,17,Australia,3 Wickets,Travis Head,Nitin Menon,Richard Kettleborough,Chris Gaffaney,Javagal Srinath
48,19-11-2023,2:00 PM,Ahmedabad,Narendra Modi Stadium,India,Australia,Australia,Field,240,10,50,3,13,3,16,4.8,2,5,11,0,0,18,241,4,43,0,22,5,27,5.6,3,0,9,0,0,12,Australia,6 Wickets,Travis Head,Richard Illingworth,Richard Kettleborough,Joel Wilson,Andy Pycroft
